Date,AAPL,AMZN,BAC,BND,GOOGL,IWM,JNJ,JPM,KO,MA,MCD,MSFT,NVDA,PG,QQQ,SPY,TSLA,UNH,V,VTI
2019-01-02,37.75008010864258,76.95649719238281,21.671218872070312,68.12981414794922,52.6037483215332,125.3782958984375,109.02301025390625,83.85519409179688,39.25301742553711,183.73074340820312,154.04013061523438,95.50132751464844,3.3783230781555176,78.93595886230469,149.42918395996094,229.104248046875,20.674667358398438,224.1205291748047,127.73146057128906,116.876220703125
2019-01-03,33.989898681640625,75.01399993896484,21.32392120361328,68.39591217041016,51.1468505859375,123.13441467285156,107.29060363769531,82.66345977783203,39.010459899902344,175.44183349609375,153.02520751953125,91.9880142211914,3.1742146015167236,78.38250732421875,144.5472412109375,223.63714599609375,20.02400016784668,218.0087432861328,123.12842559814453,114.16773223876953
2019-01-04,35.4409065246582,78.76950073242188,22.20952796936035,68.18993377685547,53.770355224609375,127.7339096069336,109.09130096435547,85.71089172363281,39.788326263427734,183.75010681152344,155.98243713378906,96.26629638671875,3.3775787353515625,79.9823226928711,150.73167419433594,231.1280059814453,21.179332733154297,220.55838012695312,128.4329376220703,117.94676971435547
2019-01-07,35.36201477050781,81.47550201416016,22.192157745361328,68.0869369506836,53.663124084472656,129.96849060058594,108.3915023803711,85.77046203613281,39.26976013183594,185.1638641357422,157.67979431152344,96.38910675048828,3.5563905239105225,79.6623764038086,152.5261993408203,232.95037841796875,22.33066749572754,220.9818115234375,130.74887084960938,119.13632202148438
2019-01-08,36.0361213684082,82.8290023803711,22.14875030517578,68.0010757446289,54.134456634521484,131.9609375,110.90907287597656,85.60872650146484,39.71305465698242,186.51217651367188,158.0122833251953,97.08797454833984,3.4678521156311035,79.9563980102539,153.9058837890625,235.1390380859375,22.356666564941406,223.9364471435547,131.45997619628906,120.36243438720703
2019-01-09,36.64807891845703,82.97100067138672,22.365806579589844,68.09549713134766,53.94891357421875,133.05032348632812,110.0300521850586,85.46402740478516,38.95191192626953,189.89749145507812,157.7410430908203,98.47628021240234,3.5360538959503174,78.65058135986328,155.16017150878906,236.2379608154297,22.568666458129883,224.25860595703125,133.0071563720703,120.92977142333984
2019-01-10,36.76521682739258,82.81099700927734,22.339757919311523,67.95816040039062,53.80826187133789,133.73934936523438,110.6957015991211,85.45550537109375,39.37012481689453,191.04208374023438,158.8434600830078,97.84352111816406,3.6017751693725586,78.84085845947266,155.60397338867188,237.0712890625,22.99799919128418,225.3907470703125,133.2570037841797,121.5245361328125
2019-01-11,36.40425109863281,82.02799987792969,22.60023307800293,68.09549713134766,53.092037200927734,133.77655029296875,110.72982788085938,85.04692077636719,39.595947265625,190.0235595703125,159.56088256835938,97.08797454833984,3.6910572052001953,79.35971069335938,155.0347137451172,237.16287231445312,23.150667190551758,227.968017578125,132.67079162597656,121.5519790649414
2019-01-14,35.856842041015625,80.8604965209961,22.895431518554688,68.035400390625,52.44563674926758,132.44515991210938,109.4753189086914,85.9236831665039,39.437034606933594,189.56765747070312,158.5547332763672,96.37963104248047,3.730985641479492,78.82353210449219,153.66465759277344,235.71600341796875,22.293333053588867,228.32699584960938,131.74827575683594,120.7833480834961
2019-01-15,36.59071731567383,83.72799682617188,23.051715850830078,68.04398345947266,54.191314697265625,133.56246948242188,110.39700317382812,86.55359649658203,39.788326263427734,190.62498474121094,158.3797149658203,99.1751937866211,3.7168495655059814,79.56724548339844,156.6652374267578,238.41748046875,22.961999893188477,236.4361572265625,131.97889709472656,122.10099029541016
2019-01-16,37.03772735595703,84.18900299072266,24.70136260986328,68.06971740722656,54.3409423828125,134.5586700439453,109.27050018310547,87.2516098022461,39.244659423828125,191.8374786376953,156.91864013671875,99.52460479736328,3.691304922103882,79.01380157470703,156.6362762451172,238.99440002441406,23.06999969482422,240.6610107421875,131.97889709472656,122.44871520996094
2019-01-17,37.25765609741211,84.66100311279297,25.170215606689453,67.99250030517578,54.82025909423828,135.7783660888672,110.16661071777344,87.60913848876953,39.36176300048828,193.33123779296875,158.45849609375,100.2235107421875,3.762730836868286,79.0024642944336,157.8712615966797,240.80755615234375,23.15399932861328,239.10543823242188,131.9212646484375,123.43693542480469
2019-01-18,37.48714065551758,84.80999755859375,25.43936538696289,67.94099426269531,55.228248596191406,137.1749725341797,111.53205108642578,89.03070068359375,39.82177734375,195.9406280517578,159.7358856201172,101.72515869140625,3.8919410705566406,79.68231964111328,159.4342498779297,244.0127410888672,20.150667190551758,244.379638671875,133.0936279296875,125.03820037841797
2019-01-22,36.64569854736328,81.6084976196289,25.25704002380371,68.06118774414062,53.79828643798828,135.005615234375,109.9190902709961,87.62615203857422,39.91379165649414,193.476806640625,161.4857635498047,99.80794525146484,3.6895692348480225,78.8281478881836,156.24072265625,240.7160186767578,19.92799949645996,244.5545654296875,132.66119384765625,123.32713317871094
2019-01-23,36.793907165527344,82.0009994506836,25.109439849853516,68.12981414794922,54.086570739746094,134.63319396972656,109.9190902709961,87.40484619140625,40.373817443847656,192.4001007080078,162.81564331054688,100.78070831298828,3.702465295791626,82.66321563720703,156.44332885742188,241.2196807861328,19.172666549682617,245.77867126464844,131.66175842285156,123.45523071289062
2019-01-24,36.50226593017578,82.74649810791016,25.248361587524414,68.2757797241211,54.066123962402344,135.44317626953125,108.4085693359375,87.45590209960938,39.888694763183594,193.79689025878906,163.935546875,100.2990493774414,3.9145092964172363,82.19255065917969,157.4563751220703,241.34786987304688,19.43400001525879,244.9595489501953,132.3248748779297,123.71142578125
