"","AAPL","GOOGL","AMZN","MSFT","NVDA","TSLA","JPM","BAC","V","MA","UNH","JNJ","PG","KO","MCD","WMT","PFE","PEP","GSPC","IRX"
"17533",40.5689239501953,53.5279579162598,59.4505004882812,79.7929153442383,4.93022012710571,21.3686676025391,89.1090774536133,25.491641998291,109.311744689941,146.30500793457,200.148483276367,115.682456970215,75.7223739624023,36.8170204162598,147.811950683594,29.2558612823486,26.3863277435303,96.9328536987305,2695.81005859375,1.37800002098083
"17534",40.5618667602539,54.4411964416504,60.2099990844727,80.1642532348633,5.25469779968262,21.1499996185303,89.1998748779297,25.4063854217529,110.400001525879,148.144485473633,202.248077392578,116.787498474121,75.630485534668,36.7361946105957,147.189041137695,29.5110645294189,26.5818386077881,96.6783294677734,2713.06005859375,1.37000000476837
"17535",40.7502708435059,54.6526679992676,60.4794998168945,80.8698425292969,5.28239727020264,20.974666595459,90.4777297973633,25.7388877868652,110.81046295166,150.061080932617,203.125900268555,116.77921295166,76.1650848388672,37.2535972595215,148.221527099609,29.5377635955811,26.6397590637207,97.154541015625,2723.98999023438,1.37000000476837
"17536",41.2142295837402,55.3773765563965,61.4570007324219,81.8724517822266,5.32716178894043,21.1053333282471,89.8968811035156,25.8582458496094,113.46427154541,153.171920776367,206.999282836914,117.743049621582,76.2152099609375,37.2455062866211,148.52018737793,29.7128410339355,26.6904525756836,97.433708190918,2743.14990234375,1.37000000476837
"17539",41.061149597168,55.5728912353516,62.3434982299805,81.9560165405273,5.49038934707642,22.4273338317871,90.0296630859375,25.6792087554932,113.922462463379,153.634948730469,203.406433105469,117.892547607422,76.6161651611328,37.1889190673828,148.417785644531,30.1520233154297,26.3935737609863,96.8753967285156,2747.7099609375,1.37999999523163
"17540",41.0564384460449,55.502067565918,62.6349983215332,81.9003067016602,5.48890495300293,22.246000289917,90.4860229492188,25.8070907592773,113.702896118164,153.85676574707,204.420059204102,119.762023925781,76.0564880371094,37.3748588562012,148.084991455078,29.7900047302246,26.3646049499512,96.9492721557617,2751.2900390625,1.41499996185303
"17541",41.0470123291016,55.3698921203613,62.7164993286133,81.5289611816406,5.5319390296936,22.3199996948242,91.4817352294922,26.0458087921143,113.578819274902,154.204040527344,202.899658203125,119.62077331543,75.5720062255859,37.2455062866211,148.059417724609,29.5763397216797,26.4080505371094,96.456657409668,2748.22998046875,1.39499998092651
"17542",41.2801666259766,55.465160369873,63.8339996337891,81.7703399658203,5.54183006286621,22.5300006866455,91.9713134765625,26.1395893096924,114.399780273438,155.2265625,203.976608276367,120.302131652832,75.3046875,37.221248626709,147.957015991211,29.6802082061768,26.4732189178467,95.9640197753906,2767.56005859375,1.40299999713898
"17543",41.7064476013184,56.3928642272949,65.2600021362305,83.1814270019531,5.51462554931641,22.4146671295166,93.4897842407227,26.5914478302002,114.638427734375,156.586685180664,206.917861938477,121.108062744141,74.8536148071289,37.3101921081543,148.110580444336,29.9324340820312,26.4587440490723,96.3745422363281,2786.23999023438,1.4099999666214
"17547",41.4944839477539,56.3953552246094,65.2429962158203,82.02099609375,5.44364643096924,22.6706676483154,93.1578826904297,26.6340770721436,114.924797058105,156.548065185547,210.773132324219,122.021980285645,75.3631744384766,37.6174011230469,148.204467773438,29.8790245056152,26.5021858215332,96.7686386108398,2776.419921875,1.39499998092651
"17548",42.1798210144043,56.8143196105957,64.75,83.6827621459961,5.55765914916992,23.1439990997314,93.7552947998047,26.5829277038574,116.44261932373,158.506240844727,215.777709960938,122.121688842773,76.1817855834961,37.8518486022949,149.31379699707,30.4754734039307,26.9221649169922,97.8524398803711,2802.56005859375,1.41499996185303
"17549",42.2175025939941,56.6582069396973,64.6660003662109,83.645622253418,5.55073356628418,22.9713325500488,93.9793472290039,26.838695526123,117.521324157715,159.625213623047,220.058349609375,122.071884155273,75.9040222167969,37.9003562927246,148.963928222656,30.9502696990967,26.7845821380615,97.7457046508789,2798.03002929688,1.40499997138977
"17550",42.0291023254395,57.0337753295898,64.7289962768555,83.5527877807617,5.6909613609314,23.3346672058105,93.7719039916992,27.0433082580566,117.129936218262,160.927444458008,220.230316162109,122.437423706055,76.6531372070312,38.1267242431641,150.286575317383,31.0363254547119,26.7483787536621,98.665283203125,2810.30004882812,1.40299999713898
"17553",41.6852378845215,58.0642242431641,66.3655014038086,85.0474472045898,5.77950048446655,23.4373321533203,94.8671875,27.2308673858643,118.685943603516,162.326141357422,220.420364379883,123.085525512695,77.3433227539062,38.3045883178711,150.363357543945,31.2915172576904,26.7411346435547,99.7654724121094,2832.96997070312,1.38999998569489
"17554",41.6946716308594,58.6632385253906,68.1269989013672,85.3166809082031,5.90859746932983,23.5193328857422,94.7676086425781,27.2138195037842,118.991424560547,161.27473449707,221.913650512695,117.842704772949,74.9529190063477,38.3611755371094,150.87532043457,31.4250526428223,26.6614856719971,99.5930557250977,2839.1298828125,1.41299998760223
"17555",41.0305290222168,58.4198417663574,67.8755035400391,85.2423934936523,5.83168315887451,23.0593338012695,95.9790802001953,27.3587551116943,118.895950317383,161.101119995117,221.587829589844,118.04216003418,74.3300476074219,38.6683883666992,150.286575317383,31.3924083709717,26.7411346435547,99.4616775512695,2837.5400390625,1.4099999666214
"17556",40.298095703125,58.9610023498535,68.8974990844727,85.7158889770508,5.84528493881226,22.5093326568604,96.0039749145508,27.3587551116943,119.535530090332,162.625183105469,221.886444091797,119.97802734375,74.3553085327148,38.6764793395996,149.894012451172,31.6327648162842,26.9583683013916,99.2646179199219,2839.25,1.39300000667572
"17557",40.3922920227051,59.2313346862793,70.1025009155273,87.3219451904297,6.01791095733643,22.8566665649414,96.518424987793,27.4525375366211,120.585594177246,164.313247680664,224.863876342773,120.750785827637,73.8418807983398,39.2342948913574,152.197998046875,32.1639404296875,28.2472724914551,99.9707412719727,2872.8701171875,1.38800001144409
"17560",39.5562400817871,59.1774673461914,70.8840026855469,87.1919937133789,6.1049656867981,23.3020000457764,96.4188690185547,27.5207443237305,119.172790527344,162.586624145508,223.90461730957,119.379837036133,73.1096115112305,38.5632820129395,151.694549560547,32.5081558227539,28.254508972168,98.2547378540039,2853.53002929688,1.375
"17561",39.3230934143066,58.7230949401855,71.890998840332,86.0965118408203,6.00282430648804,23.054666519165,95.5144271850586,27.1797161102295,117.941368103027,161.27473449707,214.166809082031,118.341217041016,73.1853637695312,38.3288307189941,147.180450439453,31.968090057373,27.3711090087891,98.4353713989258,2822.42993164062,1.42499995231628
"17562",39.4314155578613,58.9649925231934,72.5445022583008,88.2039108276367,6.07899808883667,23.6206665039062,95.9790802001953,27.2820262908936,118.590492248535,163.020660400391,214.284484863281,114.818313598633,72.6718978881836,38.4743576049805,146.037048339844,31.6327648162842,26.8207874298096,98.7720184326172,2823.81005859375,1.42999994754791
"17563",39.513843536377,58.9335670471191,69.5,87.5076293945312,5.94792127609253,23.283332824707,96.9748153686523,27.708309173584,120.012840270996,166.811645507812,212.872711181641,116.338844299316,72.2594909667969,38.3611755371094,146.685577392578,31.3122901916504,26.9157981872559,98.7720184326172,2821.97998046875,1.45299994945526
